DATE RECEIVED,COMPANY NAME,INDUSTRY,LOCATION,COUNTY,REGION,TYPE,LAYOFF DATE,# AFFECTED
02/23/2016,Thorco Industries,,Lamar,Barton,Southwest,Closing,04/23/2016-08/31/2016,92
02/29/2016,Ascension Senior Living d/b/a Alexian Brothers Community Service,,St. Louis,St. Louis City,St. Louis City,Closing,2/29/2016-04/30/2016,101
03/04/2016,"Pharmacy Services, Inc. d/b/a Bellevue Pharmacy",,Maryland Heights,St. Louis City,St. Louis City,Closing,05/04/2016,80
03/04/2016,"PSI Services, Inc. d/b/a Bellevue Pharmacy",,Maryland Heights,St. Louis City,St. Louis City,Closing,05/04/2016,70
03/22/2016,First Student,,"High Ridge, Eureka, Grover","Jefferson, St. Louis",St. Louis County,Layoff,06/30/2016,8
03/22/2016,First Student (Bargaining workers),,"High Ridge, Eureka, Grover","Jefferson, St. Louis",St. Louis County,Layoff,06/30/2016,191
04/01/2016,"Twin Rivers Foods, Inc.",,Neosho,Newton,Southwest,Closing,06/01/2016,330
04/11/2016,Polar Tank Trailer,,Springfield,Greene,Southwest,Closing,07/29/2016,240
04/28/2016,"Sodexo, Inc.",,Joplin,Jasper,Southwest,Closing,06/30/2016,63
04/28/2016,"Inteva Products, LLC",,North Kansas City,Clay,KCV,Closing,07/15/2016,19
05/02/2016,"Ditech Financial, LLC",,Earth City,St. Louis County,St. Louis County,Layoff,07/01/2016,103
05/02/2016,"Machine Laboratory, LLC",,Chesterfield,St. Louis County,St. Louis County,Closing,07/03/2016,73
05/18/2016,"Schnuck Markets, Inc.",,Bridgeton,St. Louis County,St. Louis County,Layoff,07/24/2016-09/25/2016,234
05/25/2015,"SunEdison, Inc.",,Maryland Heights,St. Louis County,St. Louis County,Layoff,05/26/2016,39
05/25/2016,"SunEdison, Inc.",,St. Peters,St. Charles,St. Charles,Layoff,05/26/2016,4
06/01/2016,"Republic Airways, Inc.",,Kansas City,Platte,KCV,Closing,08/02/2016,91
06/01/2016,"CVS Pharmacy, Inc.",,St. Louis,St. Louis County,St. Louis County,Layoff,08/12/2016,77
06/28/2016,MaritzCX Research LLC,,Kirksville,Adair,Northeast,Closing,09/16/2016-09/30/2016,2
